mitqut	(mitq)+ut
kiliqtuq	(kil)+iqtuq
puja	(puja)
aluut	(alu)+ut
puiguqtaa	(puig)+uq+taa
qimuktuq	qi+(m)+uk+tuq
hikuarniq	hiku+(ar)+niq
avalu	a+(va)+lu
utuqqaq	(utuq)+qaq
nangiaqtuittuq	(nangiaqtu)+it+tuq
huukiaq	hu+(uki)+aq
hinaaqhijuq	(hinaa)+qhi+juq
qiajuq	qi+(a)+juq
apun	(ap)+un
qinmiarjuk	qinmi+(a)+rj+uk
aik	a+(i)+k
allarut	(allar)+ut
qutangajuq	(qutanga)+juq
agjaqtaa	(agj)+aq+taa
takunnaqtuq	taku+(nn)+aq+tuq
unnuk	(unnuk)
humiitpa	hu+(miitpa)
hiqiqtuq	(hiq)+iqtuq
kuapigaq	(kuapi)+gaq
hilataani	hila+(ta)+ani
naalaktuqnaalaktuq	(naalaktuqnaal)+ak+tuq
naulaq	(naul)+aq
algalaq	a+(lgal)+aq
puujjuk	p+(uujj)+uk
ivjaquti	(ivjaq)+uti
akhuuqtuq	a+(khuuq)+tuq
aallatqiiktuk	(aallatqiiktu)+k
hivajaaqtuq	hi+(vaja)+aq+tuq
nangmaktaq	(nangmakt)+aq
anuqhilaqiliqtuq	(anuqhilaqil)+iqtuq
aupajangattuq	(aupajanga)+t+tuq
tujurmiaq	(tujurmia)+q
himmauhiqtaa	(himma)+uhiq+taa
aikhiqtuq	(aikh)+iqtuq
quaq	(qu)+aq
nuijjiijuq	(nuijjii)+juq
nuniq	(nu)+niq
nipitiruti	(nipitir)+uti
tuulligaaq	(tuulliga)+aq
apittiujuq	(apittiu)+juq
hikuut	(hiku)+ut
kigutigikhauti	kigu+(tigikha)+uti
pulaliqtuq	(pula)+liq+tuq
uingaiqtuq	(uinga)+iqtuq
piissak	(piiss)+ak
tukaliktuq	(tukalik)+tuq
puviqhimajuq	puvi+(qhima)+juq
annuk	(ann)+uk
iluliittuq	(iluli)+it+tuq
ilitarijaa	(ilita)+rijaa
atigi	a+(tigi)
iqqaqtuq	(iqq)+aq+tuq
nuuttuq	(nuu)+t+tuq
tiiliuqtuq	(tii)+liuq+tuq
kaivjaqtaa	ka+(ivjaq)+taa
uplaigami	(uplaiga)+mi
quq	(q)+uq
aqhalingiaq	(aqhalingia)+q
pauqtuq	p+(auq)+tuq
ubluqhiut	(ublu)+qhi+ut
qugluktaa	(quglukta)+a
arnaaqutaq	(arnaaq)+ut+aq
abluqtuq	a+(bluq)+tuq
hain’riguhuktuq	(hain’ri)+gu+huk+tuq
mihuktuq	(mi)+huk+tuq
aqiaviniq	(aqiavi)+niq
pitquhiqtuqtuq	(pitquhiq)+tuq+tuq
ulrujuq	(ulr)+ujuq
tagiuqtuq	(tagiuq)+tuq
avittuq	a+(v)+it+tuq
ajanikittuq	a+(janik)+it+tuq
kiluuttaqtaq	(kiluutt)+aq+taq
iqitquq	(iqitq)+uq
kigutiliqiji	(kig)+utiliqiji
nakinpijat	(nakinpija)+t
uqquuquti	(uqquuq)+uti
havangtinnanuk	havang+(tinna)+nuk
attiqtaa	(att)+iq+taa
qalairaqtuq	(qalair)+aq+tuq
titirauhiq	(titira)+uhiq
ivjarun	(ivjar)+un
nappannguqtuq	(nappann)+guq+tuq
manniliuqtuq	(manni)+liuq+tuq
pakkaq	p+(akk)+aq
imaruqtuq	(ima)+ruq+tuq
kanguq	(kangu)+q
atqaujuq	a+(tqa)+ujuq
hukhamut	hu+(kham)+ut
muqpak	(muq)+pak
igalaaq	(iga)+laaq
nakiqtuq	(nak)+iqtuq
ugjullak	(ugju)+llak
taimaa	(taima)+a
angilraqtuq	(angilr)+aq+tuq
aallaunahugijaa	(aallaunahu)+gijaa
angulajuq	ang+(ula)+juq
kingulliq	(kingu)+lliq
tautuktuq	(taut)+uk+tuq
alurnaq	a+(lur)+naq
qaffinikukiuqaqqin	qaffinik+ukiuq+(a)+qqin
quvianaittuq	(quviana)+it+tuq
tammaqtuq	ta+(mm)+aq+tuq
hilaluk	(hila)+luk
makaqtaa	(makaq)+taa
aittuut	(aittu)+ut
imaq	(im)+aq
itqaqtuq	(itq)+aq+tuq
kaimalluriktuq	ka+(imallu)+rik+tuq
tungauttuq	(tungau)+t+tuq
umiarmi	(umiar)+mi
haqiktaun	(haqikta)+un
kannujaq	ka+(nnuj)+aq
kiguhiqqun	kigu+(hiqq)+un
tingmikhajuq	(tingmikha)+juq
haulluti	(haullu)+ti
ukuariik	(ukua)+riik
ataani	(ata)+ani
ivujuq	(iv)+ujuq
paniqhiqtuq	(paniq)+hiq+tuq
qakuguttauq	(qakugu)+ttauq
anautaq	(ana)+ut+aq
higaakhaq	(higaa)+khaq
hunamun	huna+(m)+un
uluaqtuqtaa	ulu+(aq)+tuq+taa
arnauniriik	(arnauni)+riik
atquti	(atq)+uti
kalluk	(kallu)+k
arlingnaqtuq	(arlingn)+aq+tuq
tukhuktaa	(tukhuk)+taa
tupikhaq	(tupi)+khaq
aannuraaq	(aannuraaq)
haqpingajuq	(haqp)+ingajuq
qaangiqtaa	qa+(ang)+iq+taa
apqutaittuq	(apquta)+it+tuq
hinaa	(hinaa)
tuktuujaq	tuktu+(uj)+aq
nanguqati	(nangu)+qati
atauhiinnaq	(atauhi)+innaq
qattarjuaq	(qattarju)+aq
kakkiijaut	(kakkiija)+ut
nipitqaqtuq	(nipitq)+aq+tuq
higguqquqtujuq	(higgu)+qquqtu+juq
ubluqtuhinia	ubluq+(tuhinia)
ihiq	(ihi)+q
qinmiqtuqtuq	qinmi+(q)+tuq+tuq
algu	(a)+lgu
ilu	(ilu)
nipaluk	(nipal)+uk
tinguk	(ting)+uk
ungullaut	(ungulla)+ut
nakuugilluanngitaa	(nakuu)+gi+llua+nngi+taa
kivvit	(kivvi)+t
uaqhivik	(uaqhi)+vik
uttuk	(utt)+uk
ilaranaqtuq	(ilara)+naq+tuq
alugvik	(alu)+g+vik
aittuuhiaq	a+(ittuuhi)+aq
paaqtaa	(paaq)+taa
naharaq	(nahar)+aq
kijjilaqijuq	k+(ijji)+laqi+juq
kiujaa	(kiu)+jaa
qaphaktaqtuq	qa+(phakt)+aq+tuq
qin’ngut	(qin’ngu)+t
uingaiqtaa	(uinga)+iq+taa
ungahitqiaq	(ungahitqi)+aq
puviqtaq	puvi+(qt)+aq
attit	(a)+ttit
pimmariktuq	p+(imma)+rik+tuq
qumaq	(qum)+aq
kingmitquq	ki+(ngmitq)+uq
putuguq	putu+(gu)+q
tuktuttuq	(tuktu)+t+tuq
ajurnarman	(ajurnar)+man
anaanattiaq	(anaana)+ttiaq
qitaujaq	(qitauja)+q
qablunaatun	(qablu)+na+atun
ningaqtut	(ningaqtu)+t
tingmiaqpak	(tingmiaq)+pak
kuummiujaaqtuq	(kuummiuja)+aq+tuq
qaqquqtuqtuq	qa+(qquq)+tuq+tuq
uriuqtuq	(uriuq)+tuq
amaamauti	a+(maama)+uti
aulajjun	(aulajj)+un
paun’ngaq	(paun’ng)+aq
pikhiktuq	(pik)+hik+tuq
uliktuq	(ulik)+tuq
ikpataujaq	(ikpatauj)+aq
ikpiguhuktuq	(ikpigu)+huk+tuq
ipiiqtuq	(ipi)+iqtuq
qajangnaqtuq	qa+(jang)+naq+tuq
uqaqtuq	(uq)+aq+tuq
ilakuit	(ilaku)+it
aqhaaqtaa	(aqha)+aq+taa
quviahunngittuq	(quviahu)+nngit+tuq
ingniq	(ingniq)
qattarjuk	(qattarju)+k
ai	a+(i)
iiqtuqtuq	(i)+iqtuq+tuq
ulapqijuq	(ulapqi)+juq
tariuliqtuqtaa	tariu+(liq)+tuq+taa
anaqtauti	(anaqta)+uti
ihuani	(ihu)+ani
piittuq	(pii)+t+tuq
taphi	ta+(p)+hi
arnautqiik	a+(rnautqii)+k
kapijuq	ka+(pi)+juq
tupagiaqtuq	tupag+(i)+aq+tuq
pinniittuq	(pinni)+it+tuq
kukukuulaq	(kukukuul)+aq
uqaq	(uq)+aq
havangtinnatik	havang+(tinna)+tik
mimiq	(mim)+iq
atuaqtauti	(atuaqta)+uti
ipirakhat	(ipira)+khat
angutituqtuq	(anguti)+tuq+tuq
uingajuq	(u)+ingajuq
nipitqaqtauti	(nipitqaqta)+uti
ikkikhan	(ikkikha)+n
tungullaktuq	(tungull)+ak+tuq
maqijuq	(maqi)+juq
pijumajaa	(pijuma)+jaa
nuitajuq	n+(uita)+juq
titiqqitaa	(titiqqi)+taa
havvariktuq	(havva)+rik+tuq
niriniaqtuq	(nirini)+aq+tuq
taluq	(talu)+q
mitquiqhijuq	(mitqui)+qhi+juq
mitquiqtuq	(mitqu)+iqtuq
unaguqtuq	(una)+guq+tuq
naluujaqtuq	(naluuj)+aq+tuq
natiruvilaqutijuq	(natiruvilaquti)+juq
aullaqtinnatin	aullaq+(tinna)+tin
titiqtuun	(titiqtu)+un
qituhuktuq	qi+(tu)+huk+tuq
igluaqtuq	(iglu)+aq+tuq
tuqhuaq	(tuqhu)+aq
qinmiriaktuq	qinmi+(ri)+ak+tuq
nutqangajuq	(nutqanga)+juq
igluittuq	(iglu)+it+tuq
mallaujuq	m+(alla)+ujuq
naluujauti	(naluuja)+uti
haniqpaijuq	(haniqp)+aijuq
ilukittuq	(ilu)+kit+tuq
tamuutijaa	ta+(muuti)+jaa
talva	(talva)
naalaut	(naala)+ut
annirutijaa	(annirutija)+a
ubluriaq)star	(ubluriaq)star)
unaguiqhivik	una+gu+(iqhi)+vik
kuvjaqhuqtuq	(kuvjaq)+hu+qtuq
pangnaarjuk	p+(angnaarju)+k
ukiijuq	(ukii)+juq
aqiamuk	(aqiam)+uk
hunamut	huna+(m)+ut
annivilittuq	(annivil)+it+tuq
nirumiktuq	(niru)+mik+tuq
ilainnunngaqtaa	(ilain)+nunngaq+taa
qilamiuqtuq	qi+(lamiuq)+tuq
titiraujaqtuq	(titirauj)+aq+tuq
alappaaqtuq	(alappa)+aq+tuq
pinnirijaa	(pinni)+rijaa
pualuliuqtuq	(pualu)+liuq+tuq
tarjuliqtuqtaa	ta+(rjuliq)+tuq+taa
ungataani	(ungata)+ani
taliqpik	(taliqpi)+k
iukkaqtuq	(iukk)+aq+tuq
kaavjiq	ka+(avj)+iq
hukhamun	hu+(kham)+un
hinikhaaqtuq	hi+(nikha)+aq+tuq
putukkuk	putu+(kk)+uk
kapihilik	(kapihi)+lik
qaaq	(qa)+aq
anurikittuq	anuri+(k)+it+tuq
umngijauti	(umngija)+uti
ilikkuurujuq	(ilikkuur)+ujuq
hivuliqti	hi+(vuliqti)
ivgit	(ivg)+it
inuaqtaujuq	(inuaqta)+ujuq
ihumaaluktuq	(ihumaa)+luk+tuq
qalutaujaq	qa+(lutauja)+q
uqarvigijaa	(uqarvi)+gijaa
agluaq	(aglu)+aq
mikhaanun	(mikha)+anun
iptiiqtuq	(ipti)+iqtuq
haput	(hap)+ut
qajaqtuqtuq	qa+(jaq)+tuq+tuq
utaqqijuq	(utaqqi)+juq
malliqtuq	(mall)+iqtuq
ihaqquk	(ihaqq)+uk
hiun	(hi)+un
attirniq	att+irni+(q)
ikumaniq	(ikuma)+niq
halumaittuq	(haluma)+it+tuq
aluktuq	(a)+luk+tuq
ihuuq	(ihu)+uq
qaqquq	qa+(qquq)
qulliujaq	qu+(lliuj)+aq
atugaq	(atu)+gaq
uningajuq	(un)+ingajuq
kuhiqtuq	(ku)+hiq+tuq
uplaaq	(uplaa)+q
arvak	(ar)+vak
illiqpik	(illiq)+pik
papik	(papi)+k
qaffinikukiuqaqqa	qaffinik+ukiuq+(aqqa)
aujijaqtuqtuq	a+(ujijaq)+tuq+tuq
kijjak	(kijj)+ak
naammajjavutik	(naammajjavu)+tik
hilahiun	(hilahi)+un
qaptirut	(qaptir)+ut
qilamik	(qila)+mik
aulajjuti	(aulajj)+uti
tiriganniaq	(tiriganni)+aq
ikuhingmingaaqtuq	ikuh+ingmi+(nga)+aq+tuq
iglaqtittijuq	(iglaqti)+ttijuq
aanniarvik	a+(anni)+arvik
qaqhauq	(qaqha)+uq
nivinngaqtaa	(nivinng)+aq+taa
titiraqti	(titir)+aq+ti
nulluk	n+(ull)+uk
akunniq	(akun)+niq
hiitquq	(hiitqu)+q
ungahiaqtuq	(ungahi)+aq+tuq
havangtinnagit	havang+(tinna)+git
nangmaktuq	(nangmakt)+uq
hikutirvia	hiku+(tirvia)
tamatkiqtaa	(tamatk)+iq+taa
qurluq	(qurluq)
ungahikkutigiiktut	(ungahik)+kuti+giik+tut
auktuqtaaqtuq	(auktuqt)+aaq+tuq
huiqtuq	(hu)+iqtuq
amiraijaijuq	(amiraij)+aijuq
iglupiaqtuqtuq	iglu+(piaq)+tuq+tuq
kinamik	ki+(na)+mik
hakiak	(haki)+ak
uqhurjuaqarvik	(uqhurjua)+qarvik
qivjaq	(qivj)+aq
kia	(kia)
kihimngiuqtuq	ki+(himngiuq)+tuq
qaniaqtuq	(qani)+aq+tuq
tuhunnaq	(tuhu)+nnaq
utkuhik	(utkuhi)+k
pituutaq	(pitu)+ut+aq
ungalaqtuq	(ungal)+aq+tuq
tikinnatik	tikin+(na)+tik
tarjukkuuqtuq	(tarju)+kkuuq+tuq
imaaqtuq	(ima)+aq+tuq
taqturuti	ta+(qtur)+uti
akujuq	a+(k)+ujuq
illaijuti	(illaij)+uti
uqqarikhijuq	(uqqa)+rik+hi+juq
ipiraq	(ipira)+q
uhuk	(uh)+uk
imunik	(imu)+nik
aliahuktuq	(alia)+huk+tuq
nuviqhaqtuq	(nuviqh)+aq+tuq
ubluq	(ublu)+q
qunguhiniq	(qunguhi)+niq
panikhaq	(pani)+khaq
mipku	(mi)+pku
ajjigiiktuk	(ajjigiiktu)+k
kingmautik	ki+(ngmau)+tik
pukkuliqhit	p+(ukkuliqh)+it
ininiktaa	(ininik)+taa
anijuq	a+(ni)+juq
ilihimanngittuq	(ilihima)+nngit+tuq
nirijaa	(niri)+jaa
pinguatigaq	(pinguatig)+aq
naglingnaqtuq	(nagling)+naq+tuq
ublumittauq	(ublu)+mi+ttauq
amiiqtuq	(ami)+iqtuq
huuq	(hu)+uq
iiqtaa	(i)+iq+taa
itkalruq	(itka)+lruq
nakahuk	(nak)+a+huk
iihijuq	(ii)+hi+juq
quviahugvik	(quviahu)+g+vik
tingmiaq	(tingmiaq)
tatattuq	(tata)+t+tuq
tuphiuqtuq	(tup)+hiuq+tuq
aqupliqtuq	(aqupl)+iqtuq
kuniktaa	(kunik)+taa
pangniq	(pang)+niq
ikijaa	(iki)+jaa
tulagvik	(tula)+g+vik
paan’ruliaq	paa+(n’ruli)+aq
akihaqtuq	(aki)+haq+tuq
iiluktuq	(ii)+luk+tuq
iluvruaq	(iluvru)+aq
kipijuq	ki+(pi)+juq
angiptak	ang+(ipta)+k
hanajaa	(hana)+jaa
ningauk	(ninga)+uk
qupanuaqpaarjuk	qu+(panuaqpaa)+rj+uk
umiktuq	(u)+mik+tuq
kitittijuq	ki+(ti)+ttijuq
uunaqtuq	(uu)+naq+tuq
kattuaq	(kat)+tuaq
aippaangani	(aippaang)+ani
uaqhit	(uaqhi)+t
piqhiqtuq	p+(iqhiq)+tuq
hunat	(huna)+t
hivajaut	hi+(vaja)+ut
nauna	(nau)+na
tagjuqtuq	(tagjuq)+tuq
ikijjuk	(ikijj)+uk
takunnaittuq	taku+(nna)+it+tuq
pamirraaqtuq	p+(amir)+raaq+tuq
tahittuq	(tahi)+t+tuq
ipulvik	(ipul)+vik
qitiq	(qit)+iq
tatqiqhiuti	(tatqi)+qhi+uti
piqalujaq	(piqaluj)+aq
uluaqtuun	ulu+(aqtu)+un
paja	(paja)
akimajuktuq	akima+(juk)+tuq
ikittaaqtuq	(ikitta)+aq+tuq
atuut	a+(tu)+ut
aqiaruq	(aqiaru)+q
alguilitaq	(algu)+ilitaq
ablaangajuq	(ablaanga)+juq
iijjilaqijuq	(iijji)+laqi+juq
uuktuun	(uuktu)+un
havangtinnatin	havang+(tinna)+tin
in’rutaq	(in’r)+ut+aq
umiaq	(umi)+aq
ikpakhaani	ikpakha+(a)+ni
kigutaijaqtaa	kigu+(taij)+aq+taa
uhiarun	(uhiar)+un
uhiqtiqtuq	(uhiqt)+iqtuq
ulu	(ulu)
taingna	ta+(ingna)
upluliuqtuq	(uplu)+liuq+tuq
akutuq	(aku)+tuq
immiuqtuq	(immiuq)+tuq
qipijaa	qi+(pi)+jaa
kaivittuq	ka+(iv)+it+tuq
katilvik	ka+(til)+vik
tigluun	(tiglu)+un
ikipkaqtaa	(iki)+pkaq+taa
nutaqqiuqtaa	nutaqq+(i)+uq+taa
piringajuq	p+(ir)+ingajuq
akulliqut	a+(kulliq)+ut
qaqhuk	qa+(qh)+uk
malrik	(malri)+k
kipkariktuq	(kipka)+rik+tuq
pitquhiq	(pitquhiq)
ugjugaq	(ugju)+gaq
kaaphi	ka+(ap)+hi
navvaq	(navv)+aq
marluk	(ma)+rluk
attik	(at)+tik
kivgaq	(kivgaq)
maamak	(maamak)
angitigijuq	ang+(itigi)+juq
aqamaaktuq	a+(qama)+ak+tuq
nutaqqijaa	nutaqq+(i)+jaa
uplu	(uplu)
aqilgiq	a+(qilgiq)
algaujaq	(algauj)+aq
akimahuqtuq	(akima)+hu+qtuq
tukkaliqtuq	(tukka)+liq+tuq
annuktuq	(ann)+uk+tuq
itipjaaq	(itipja)+aq
pingahuiqtuqtuq	(pingahu)+iqtuq+tuq
qanikturiiktuk	qa+(nikturiiktu)+k
mihiktuq	(mi)+hik+tuq
havikhavikhaq	havik+havik+(h)+aq
kamiijaqtuq	ka+(mi)+ijaqtuq
hakugiittuq	(hakugi)+it+tuq
qamnguqtuq	qa+(mn)+guq+tuq
takkurni	(takku)+rni
aqublingajuq	a+(qubl)+ingajuq
ihivriuqhiji	(ihivriuq)+hi+ji
paijuq	(pai)+juq
naliak	nali+(a)+k
ukkuaq	(ukku)+aq
hanaji	(hana)+ji
ajapqumiarvik	a+(japqumi)+arvik
ahu	a+(hu)
kuvjaq	(kuvj)+aq
kajangnaqtuq	ka+(jang)+naq+tuq
malrunnguqtait	malru+(nnguqta)+it
tukhiqtuq	(tukh)+iqtuq
nuutaa	(nuu)+taa
ininikhijuq	(ininik)+hi+juq
piffi	(pi)+ffi
nangiaqtuq	(nangiaqtu)+q
majuaqtuq	(maju)+aq+tuq
havikhaq	havi+(kh)+aq
auktuqtaqtuq	(auktuqt)+aq+tuq
hilahiuti	(hilahi)+uti
niviqtuq	n+(iv)+iqtuq
ivjurnauti	(ivjurna)+uti
amaamaun	a+(maama)+un
anguun	(angu)+un
aqhalingialaqijuq	(aqhalingia)+laqi+juq
aqiarurliqtuq	(aqiarur)+liq+tuq
upin’rakhaq	(upin’ra)+khaq
ungahikhijuq	(ungahik)+hi+juq
ikittuq	(i)+kit+tuq
makittuq	(ma)+kit+tuq
hunamiaqtuq	huna+(mi)+aq+tuq
kanivauti	(kaniva)+uti
kapihik	(kapihi)+k
ihajuq	(iha)+juq
iquutikhaun	(iquutikha)+un
hukatirut	hu+(katir)+ut
ubluqhiun	(ublu)+qhi+un
qilalugaqtuq	(qilalug)+aq+tuq
immiugaq	(immiu)+gaq
itigak	(itig)+ak
ikuutautit	(ikuuta)+ut+it
imaiqtuq	(ima)+iqtuq
qunmun	(qunm)+un
qutuk	qu+(tu)+k
hiurjuun	hi+(urju)+un
taloyoak	(taloyo)+ak
ulipkaaqtuq	(ulipka)+aq+tuq
ihumaliuqtuq	(ihuma)+liuq+tuq
pittaq	(pit)+taq
iqiahuujuq	(iqiahu)+ujuq
auviuqtuq	(auviuq)+tuq
amihut	a+(mih)+ut
uhiqtuq	(uhiqt)+uq
uliuhiniq	(uliuhi)+niq
ubluriaq	(ublu)+riaq
aullaaqhimajuq	aulla+(aqhima)+juq
nirijuq	(niri)+juq
hiluraqtuq	hi+(lur)+aq+tuq
aanniqtuq	a+(ann)+iqtuq
kuhiqtaqtuq	k+(uhiqt)+aq+tuq
niqait	(niqa)+it
aittuqtuijuq	(aittuqtui)+juq
ivgun	(ivg)+un
kapuut	(kapu)+ut
qilirniqtaa	qil+irni+(q)+taa
ukpatik	(ukpa)+tik
taktaa	ta+(k)+taa
nirjuti	(nirj)+uti
irmiuti	(irmi)+uti
higaaqtuq	(higa)+aq+tuq
upin’ngaaq	(upin’nga)+aq
nukatugaq	nuka+(tu)+gaq
tuffijuq	(tuffi)+juq
upluq	(uplu)+q
hiqquqtiun	(hiqquqti)+un
itijuq	(iti)+juq
quviagijaa	(quvia)+gijaa
quviahuktuq	(quvia)+huk+tuq
nuqhutik	n+(uqhu)+tik
uilik	(uili)+k
ubluirvia	(ublu)+irvia
aqpahijuq	(aqpa)+hi+juq
aqpaliutijuq	(aqpaliuti)+juq
katuktuq	(kat)+uk+tuq
hanningajulik	(hanningaju)+lik
kapihijuq	(kapihi)+juq
kivvin	(kivvi)+n
titiqqat	(titiqqa)+t
arjakhaq	(arja)+khaq
kalluguqtuq	(kallu)+guq+tuq
uummat	(uumma)+t
pamiqhaaq	p+(amiqh)+aaq
tivjaqtaqtuq	t+(ivjaq)+taqtuq
anikhaq	a+(ni)+khaq
tahiq	(tahi)+q
aaq	(a)+aq
ikajuqtaa	(ikajuq)+taa
nauliktaa	(nau)+lik+taa
haavittuq	(haavi)+t+tuq
qituhungnaqtuq	qi+(tuhung)+naq+tuq
akhunaaq	akhunaa+(q)
qajagijuq	qa+(jagi)+juq
havguti	(havg)+uti
takkumni	(takku)+mni
anguhalluq	ang+(uhalluq)
anguut	(angu)+ut
hiqanaakhiun	hiq+(anaakhi)+un
imaa	(ima)+a
qalvik	(qal)+vik
arviqtuq	(arv)+iqtuq
nujaq	(nuja)+q
ivjaqut	(ivjaq)+ut
qaritaq	(qarit)+aq
aqtuliqtuq	(aqtu)+liq+tuq
hulivit	(huli)+vit
hilami	(hila)+mi
ihuuqiq	(ihuuq)+iq
kuvjin	(kuvj)+in
ihuittuq	(ihu)+it+tuq
anguti	(angu)+ti
hiuraq	hi+(ur)+aq
juus	(juus)
haunittiaq	(haunittia)+q
tangmaaqtuq	t+(angma)+aq+tuq
qaangani	qa+(ang)+ani
takkarjuaq	ta+(kka)+rj+uaq
ikitaqtuq	(iki)+taqtuq
anngun	(anng)+un
kinguq	(kingu)+q
uhingajuq	(uh)+ingajuq
ui	(ui)
arnaqhiuti	(arna)+qhi+uti
nurraittuarjuk	(nurraittua)+rj+uk
kan’nguhuktuq	ka+(n’ngu)+huk+tuq
una	(una)
qipikhimajuq	(qipikhima)+juq
qaqautaq	qa+(qa)+ut+aq
kulavak	(kula)+vak
tingmijuq	(tingmi)+juq
aquttuq	(aqu)+t+tuq
nuvijaa	(nuvi)+jaa
illaijun	(illaij)+un
nullauhiqtuq	n+(ullau)+hiq+tuq
hiqqaqtuq	(hiqq)+aq+tuq
paamnguliaq	(paamnguli)+aq
avataaqtaqtut	(avataaq)+taq+tut
natiq	(nati)+q
haviqquujaq	havi+(qquuj)+aq
arnaqati	(arna)+qati
uuktaut	(uukta)+ut
ilihimmariktuq	(ilihimma)+rik+tuq
aqagumunngaqpan	aqagu+(munngaq)+pan
illaktut	(i)+llak+tut
titiqqiqhijuq	(titiqqi)+qhi+juq
minihitaq	(mini)+hi+taq
kapuraut	(kapura)+ut
hamani	(ham)+ani
niuviqtuq	(niuv)+iqtuq
itipjaaqtuq	(itipja)+aq+tuq
aallatuqtuq	(aalla)+tuq+tuq
tingittuq	(ting)+it+tuq
ihunngaq	(ihunng)+aq
tuullik	(tuul)+lik
upaktaa	(upak)+taa
iqalukhiun	iqaluk+(hi)+un
qalurautic	(qalura)+uti+c
puvipqurnaqtuq	puvi+(pqurn)+aq+tuq
uluaraqtuq	ulu+(ar)+aq+tuq
iliarjuk	(ilia)+rj+uk
iliranaittuq	(ilirana)+it+tuq
taliruq	ta+(li)+ruq
niuqhijuq	(niu)+qhi+juq
manniit	(manni)+it
killaijaijuq	k+(illaij)+aijuq
ajurnaqtuq	(ajur)+naq+tuq
atiruaqtuq	a+(tiru)+aq+tuq
hikun’riqtuq	hiku+(n’r)+iqtuq
algak	(alga)+k
algaijaqtuq	(alga)+ijaqtuq
kapuun	(kapu)+un
pauttuq	(pau)+t+tuq
aluktuqtaa	(aluk)+tuq+taa
hiqiniqpulaliqtuq	(hiqiniqpula)+liq+tuq
akiti	(aki)+ti
nakujuq	(nak)+ujuq
nukatukkaaq	nuka+(tukka)+aq
kiglukkuuqtuq	k+(iglu)+kkuuq+tuq
tupilak	(tupila)+k
tuhutujuq	(tuhutu)+juq
uunnaaqtuq	(uunna)+aq+tuq
ilihaijaa	(ilihai)+jaa
kiinaq	ki+(i)+naq
tunin’nguiqtirijuq	(tunin’nguiqtiri)+juq
kuhirnirit	(kuhirni)+rit
aqagumunngaqqqan	aqagu+(munngaq)+qqan
ahiani	(ahi)+ani
hiqanaakhiut	hiq+(anaakhi)+ut
irmiun	(irmi)+un
uvattiannuaq	(uvattia)+nnuaq
hatqummiqhijuq	(hatqummiq)+hi+juq
illulik	(illu)+lik
nipi	(nipi)
alvat	(alva)+t
puuvjaaqtuq	(puuvja)+aq+tuq
taqturut	ta+(qtur)+ut
naqittuq	n+(aq)+it+tuq
algaut	(alga)+ut
imiaqtuq	(imi)+aq+tuq
ingutaaqtuq	(inguta)+aq+tuq
piannaq	(pianna)+q
aliiquhiqtuq	a+(liiqu)+hiq+tuq
kaipiktijjutijuk	ka+(ipiktijjutij)+uk
ulingajuq	(ul)+ingajuq
hingirniq	(hingir)+niq
ingiuqtuq	(ingiuq)+tuq
pitquijuq	(pitqui)+juq
tamaptik	(tamap)+tik
ukkuaqtuq	(ukku)+aq+tuq
ikijuq	(iki)+juq
tipjarluktuq	(tipja)+rluk+tuq
qajjat	(qajja)+t
pualrit	(pualri)+t
akirariik	(akira)+riik
hanmitijuk	(hanmitij)+uk
uvattiaq	(uvattia)+q
inirniq	(inir)+niq
pingujaa	(pingu)+jaa
miqhuqtuq	(miqhuq)+tuq
algaiqhijuq	(algai)+qhi+juq
nakin	(nak)+in
qilak	(qila)+k
pualrihaqtuq	(pualrih)+aq+tuq
qilaqqaun	(qilaqqa)+un
apuqtuq	a+(puq)+tuq
qimugjuk	qi+(mugj)+uk
ilakuq	(ilaku)+q
qujajuittuq	qu+(jaju)+it+tuq
ikhivajuq	(ikhiva)+juq
akiliuhiarijaa	a+(kiliuhiarijaa)
hanaqijuq	(hanaqi)+juq
nakuuginngitaa	(nakuu)+gi+nngi+taa
hukatiruti	hu+(katir)+uti
hain’rihuktuq	(hain’ri)+huk+tuq
ungalliq	(unga)+lliq
naujaq	(nauj)+aq
akuliarikhijuq	(akulia)+rik+hi+juq
tupiqtuqtuq	(tup)+iqtuq+tuq
nulaq	(nul)+aq
pukkuk	p+(ukku)+k
qilluqiqtuq	(qilluq)+iqtuq
ilihaqtuq	(ilihaq)+tuq
katuun	ka+(tu)+un
anuri	a+(nuri)
kuttuq	(ku)+t+tuq
aullaqhimakhaaqtuq	aullaq+(himakh)+aaq+tuq
inuinnaqtun	(inu)+innaq+tun
hituaqtuq	(hitu)+aq+tuq
hituliqtuq	hi+(tu)+liq+tuq
publakhiijuq	publ+(akhii)+juq
sikuurvik	(si)+kuurvik
tarrijaun	(tarrija)+un
ilihaijuq	(ilihai)+juq
ikumajuq	(ikuma)+juq
tuktuvalik	(tuktuva)+lik
halraqtuk	(halr)+aqtuk
itkattuq	(itka)+t+tuq
ilphi	(ilp)+hi
ila	(ila)
amaaqtuq	(ama)+aq+tuq
apkaluktaqtuq	a+(pkalukt)+aq+tuq
haulluun	(haullu)+un
higjaq	(higja)+q
hinaani	hi+(na)+ani
ivjuhiliqtaa	(ivjuhil)+iq+taa
atuqtaa	(a)+tuq+taa
aingittuq	a+(ing)+it+tuq
