kivjautik	ki+(vja)+uti+k
uluaqtuun	u+lu+(aqtu)+un
unaguqtuq	u+na+(gu)+qtuq
ariujaa	(ariu)+jaa
aallannguqtuq	aall+a+(nng)+u+qtuq
tatattaa	tat+(at)+taa
puvla	p+uv+(la)
nanminirijaujunut	na+nmin+(irijau)+ju+nut
atuqtitaa	at+uqt+(i)+taa
najuqtaa	na+(ju)+qtaa
anikhaq	an+(i)+khaq
qakugulu	qa+ku+(gu)+lu
aktikkutariik	a+(kti)+kkut+ar+iik
piyaangini	pi+(ya)+angi+ni
talrit	ta+(lr)+it
inuaqtaa	inu+(a)+qtaa
aglu	(a)+g+lu
mittarvik	m+(itta)+rvik
alurnaq	a+lu+(rna)+q
hiqulaaq	hi+qu+(la)+aq
ihuuriktuq	i+hu+(uri)+kt+uq
hiniktuq	hi+n+(i)+kt+uq
pilaut	pi+(la)+ut
qiniqhiayiit	qin+iqhi+a+(yii)+t
ilarahuktuq	i+la+(rahu)+kt+uq
angaajjuvik	ang+aajj+(u)+vi+k
laisikhnik	lais+(ikh)+nik
nunamun	nuna+(m)+un
igluaqtuq	i+glu+(a)+qtuq
iviangiilitaq	ivi+angi+(ili)+taq
tamangnik	t+ama+(ng)+nik
ngit	ng+(it)
hingaijuq	hi+n+(ga)+i+j+uq
ingilrutikharnik	i+ngi+(lr)+utikh+ar+nik
taiguaqtaa	ta+(igu)+a+qtaa
maniliqinikkut	man+(i)+liq+inikk+ut
immiqijuq	im+mi+(q)+i+j+uq
navikhimajuq	na+v+(ik)+hi+majuq
kaivjaqtaa	ka+i+(vja)+qtaa
iqujuq	iq+(u)+j+uq
aullapkaitjutinginni	a+ulla+pka+(itjut)+in+gin+ni
tunihilatpata	tu+ni+(hilatpata)
aullapkaidjutikhainik	a+ulla+pka+(idj)+utikh+a+i+nik
kapuutikhat	ka+pu+(utikha)+t
aiktautituq	a+(iktautit)+uq
paniqhiqtuq	pa+n+iqhi+(qtu)+q
angujaa	ang+(u)+jaa
ikajuutikhaqqut	ikajuut+(i)+khaq+q+ut
nuijjiijuq	nu+(ijji)+i+j+uq
arja	arj+(a)
aturutiniklu	a+tur+(uti)+nik+lu
aullarnata	a+ulla+(rna)+ta
hurjuktuq	hu+(rju)+kt+uq
niuviqpaktut	ni+uv+i+(qpa)+kt+ut
titiraut	titir+a+(u)+t
init	(in)+it
inungnin	inu+(ngni)+n
atuqhugit	at+u+(q)+hu+git
kannguhuktuq	k+(annguhu)+kt+uq
natirnaq	na+(ti)+rnaq
tamatkingniit	t+ama+(tki)+ngni+it
ilihimanngittuq	ili+(hima)+nng+ittuq
kauttuaq	ka+uttu+(a)+q
ubluriaq)star	ub+lu+(ri)+aq+)st+ar
ukuaq	u+(ku)+aq
ikayuutikharnik	ik+ayu+(uti)+khar+nik
ikayuutauyut	ik+ayu+(uta)+uyut
havangnani	hav+ang+(na)+ni
ilukittuq	ilu+(k)+ittuq
irninilu	irn+i+(ni)+lu
puiguqtuq	pu+(igu)+qtuq
minguktaa	mi+(ngu)+kt+a+a
kavamanga	ka+(vama)+ng+a
apquti	ap+qu+(ti)
iglunik	(iglu)+nik
makittuq	(ma)+k+ittuq
malruraaqtuq	malru+(ra)+a+qtuq
havagutikhanik	hav+a+(g)+utikh+a+nik
nanminiriyauyunik	na+nmin+(iriya)+uyu+nik
qipik	qi+(pi)+k
uplumittauq	u+pl+(um)+it+ta+uq
avgun	a+(vg)+un
kiinaa	ki+ina+(a)
qaluraun	qa+lura+(un)
haqpik	haq+(pi)+k
algaak	alg+(aak)
apluqtuq	ap+(lu)+qtuq
hiquriaqtuq	hi+qu+(ri)+a+qtuq
agjautik	a+(gja)+uti+k
in’ngaqtuq	i+(n’ng)+a+qtuq
pauqtuq	(pa)+u+qtuq
ikpakhaani	ikp+(a)+kha+a+ni
unnaqtutit	u+(nnaqt)+uti+t
atuuti	a+(tuuti)
amaulik	ama+(u)+lik
algu	alg+(u)
haulluqtuq	ha+(ullu)+qtuq
apittiuvik	a+pit+(tiu)+vi+k
em	(em)
ikayuutit	ik+ayu+(uti)+t
qanuktut	qan+(ukt)+ut
takujuq	ta+(ku)+j+uq
ihivriuqhiluni	ihivr+i+(uqhi)+lu+ni
qunmut	qu+n+mu+(t)
avguqtauttiaqhuni	av+guqta+(utti)+aqhu+ni
ilauniaqtuq	il+au+(ni)+a+qtuq
qungujuktuq	qu+ng+u+(ju)+kt+uq
nangiarnaqtuq	na+ngi+(a)+rn+a+qtuq
qiajuq	qi+(a)+j+uq
aittuuhiaqtuq	a+ittu+(uhi)+a+qtuq
kaiptaq	ka+i+(pta)+q
pitiktaa	pi+(ti)+kt+a+a
avittuk	a+v+(ittu)+k
inmikkuukpalliadjutikhanginik	in+mikk+(uukpalliadj)+utikh+angi+nik
niu	ni+(u)
nuliaq	nu+(li)+aq
hikuliaq	h+iku+(li)+aq
katuktuq	ka+(tu)+kt+uq
maamaktuq	(maama)+kt+uq
ilaaqtuqtaa	i+la+(aqtu)+qtaa
naarliuqtuq	naa+(rli)+u+qtuq
puviqtaq	p+uv+(iq)+taq
arvinilitpingahuat	arvin+ilit+pi+(ngahu)+at
nuungutirniaq	nu+u+nguti+(rni)+aq
ajuaq	(aju)+aq
pimattiarniq	pi+(mattiar)+niq
marlungajuq	ma+(rlu)+nga+juq
atugakhat	at+u+(ga)+khat
kuapikkat	ku+a+pi+(kk)+at
aallami	aall+a+(mi)
aqpajuaqtuq	aqpa+(ju)+a+qtuq
uqautiniklu	uq+au+(ti)+nik+lu
aallatqiiktuk	aall+a+(tqi)+iktuk
pijumanngittuq	p+ij+u+(ma)+nng+ittuq
kiliqtuq	(ki)+li+qtuq
alrujiqiji	alruj+i+(qi)+ji
munagiyaingit	munag+i+(ya)+i+ngit
qiniqhiattiaruvit	qin+iqhi+a+(tti)+ar+u+vit
hiqquqtiun	hiqquqti+(u)+n
kavamatuqatkut	ka+(vama)+tu+qa+tkut
kavamatkut	ka+(vama)+tkut
natiruvilaqutijuq	natir+uv+(ilaq)+uti+juq
havagviuyuq	hav+a+gv+(i)+u+yuq
imaruqtuq	im+(ar)+u+qtuq
qalalaqijuq	qa+l+(alaqi)+j+uq
ikajuutigijauniarumik	ikajuut+(i)+gijauni+ar+u+mik
ilitarnaqtuq	ili+(ta)+rn+a+qtuq
angijunik	angi+(ju)+nik
angmaqtaa	a+(ngma)+qtaa
kakiniq	ka+(ki)+niq
titqaut	ti+(tqa)+ut
aupadjalaqiluni	au+padj+(alaqi)+lu+ni
algirnilaqijuq	alg+(irnilaq)+i+j+uq
pinnguu	pi+(nngu)+u
ulrujuq	u+(lru)+j+uq
ihiq	i+(hi)+q
pivikhat	pi+(vi)+khat
aqhaaqtaa	aq+ha+(a)+qtaa
hanmipluni	h+an+(mi)+plu+ni
mirhurniq	mir+(hu)+r+niq
ingniqutilik	ing+niq+(uti)+lik
ipiqtuq	ip+(i)+qtuq
kiilliq	ki+il+(liq)
kiluuttaq	(kiluutt)+aq
alruyaqtuqtunik	a+lr+(uya)+qtuq+tu+nik
kiahirutilik	ki+ahir+(uti)+lik
agiraqtuq	a+(g)+ira+qtuq
aqpaliutijuq	aqpa+(li)+uti+juq
qarritijaa	qa+(rriti)+jaa
qijualiuqtuq	qi+(jualiu)+qtuq
angujuq	a+(ngu)+j+uq
qiniqtaa	qi+(ni)+qtaa
qijuk	qi+(ju)+k
pinahugijaa	pi+(nahu)+gijaa
aujaq	(a)+uja+q
qanuritpa	qa+nur+(itpa)
kapuqhirvikhaat	ka+puq+hirv+(ikha)+at
qipikhimajuq	qi+(pik)+hi+majuq
nunaryuanut	nuna+(ryua)+nut
tahapkuatlu	ta+ha+p+(kuatlu)
tamaita	t+ama+(ita)
hanmitijuk	h+an+(mitiju)+k
uukturiangani	uuk+tu+(ria)+ng+a+ni
qin’ngutik	qin+’ng+(uti)+k
qanilrukkut	qa+ni+(lru)+kkut
minittailijaa	mi+ni+(ttail)+i+jaa
ulapqipkainikkullu	ul+apq+i+pka+(i)+nik+kul+lu
uqaqtuq	uqa+(qtu)+q
imiq	i+(mi)+q
kipkariktuq	kip+(kari)+kt+uq
kihiani	ki+(hi)+ani
inuuqatigijaa	inu+(uqati)+gijaa
upalungaijautikhat	up+a+lu+ng+(aija)+utikh+at
havaaqhaq	hav+a+(aqha)+q
naunaitkutit	na+una+it+(k)+uti+t
mikigijait	miki+(gija)+it
hikun’ngiqtuq	h+iku+(n’ng)+i+qtuq
ilijaa	(ili)+jaa
imaaqtuq	i+(ma)+a+qtuq
aulahimaarniaqtun	aula+(himaarni)+aqtun
ikayuutikhat	ik+ayu+(uti)+khat
upalungguyaiplutiklu	up+a+lu+ng+(guyai)+p+lutik+lu
uqauhilirijillu	uq+au+(hilir)+iji+llu
nunallaani	nuna+(lla)+ani
tunuani	tu+n+(u)+ani
anguuti	ang+u+(uti)
nalujuq	na+(lu)+j+uq
ihumaittuq	i+hum+(a)+ittuq
qaffinikukiuqaqqa	qa+(ffiniku)+kiuqaq+qa
hilarluk	hila+(rlu)+k
hulipkaidjutikhanik	huli+pka+(i)+djut+ikha+nik
qauq	qa+(uq)
katimajut	kat+ima+(ju)+t
mun	(m)+un
munagiyainik	munag+i+(ya)+i+nik
itkalruq	it+ka+(lru)+q
tukkaqtaa	t+uk+(ka)+qtaa
ubluq	ub+lu+(q)
kukiktuq	ku+(ki)+kt+uq
naqhaq	na+(qha)+q
iiqtuq	i+(i)+qtuq
ajuqhautiqaqtuq	ajuq+ha+(utiqa)+qtuq
akiliktauvaktut	ak+ili+(ktau)+vak+tut
atuqtaulluaktukhat	at+uqtau+(lluaktu)+khat
kigut	ki+(gu)+t
tuik	tu+(i)+k
havakaffuktununlu	hav+ak+(a)+ffuktunun+lu
kapuutit	ka+pu+(uti)+t
anmuujuq	an+(mu)+u+juq
anuqhiqtuq	a+nu+q+h+(i)+qtuq
kapihijuq	ka+(pihi)+j+uq
itijuq	(it)+i+j+uq
kangiqhuk	ka+ngi+(qhu)+k
covid	co+(vi)+d
irinahuktuq	iri+na+(hu)+kt+uq
aulaalimaiguvitluuniit	aula+a+(limai)+guvit+lu+uniit
amiraijaijuq	a+mir+(aija)+i+j+uq
hilahiut	hila+(hi)+ut
ininikhijuq	ini+(ni)+khi+juq
kapuutikhatikhaq	ka+pu+(utikha)+ti+khaq
kivgaqtuqhugit	kivgaq+tu+(q)+hu+git
tunguttuq	tu+(ngu)+tt+uq
qajaq	(qaja)+q
uqauhirijaa	uq+au+(hi)+rijaa
qaffaktaqtuq	qa+(ffa)+kta+qtuq
akhatquq	ak+ha+(tqu)+q
atquti	a+(tqu)+ti
kanivaut	ka+(niva)+ut
maniit	ma+ni+(i)+t
tuujjaarnaqtuq	tu+(ujjaa)+rn+a+qtuq
maliktakhaliuqtit	mal+i+(ktakha)+liuq+tit
uaqhit	(uaqhi)+t
tagiuqtuq	ta+(gi)+u+qtuq
hivunikhaqhiuqtuq	hivun+(ikhaqhi)+u+qtuq
huirungnaitillugit	hu+(irungnaitil)+lu+git
qulittaq	qu+l+(itta)+q
aqhaluktuq	aq+ha+(lu)+kt+uq
ihuaqtuq	i+hu+(a)+qtuq
aullapkaidjutingnikhavaakhat	a+ulla+pka+(idjut)+ingn+ikhava+a+khat
niuqhijuq	ni+(uqhi)+j+uq
qiniqhiajaa	qin+iqhi+(a)+jaa
akiraqatigiiktuk	aki+ra+(qatigi)+iktuk
titqauti	ti+(tqa)+uti
kinaatqin	ki+(na)+a+t+qin
nangutiqatigiiktuk	na+nguti+(qatigi)+iktuk
igunaq	ig+(un)+aq
ujaraktujuq	ujara+(ktu)+j+uq
qaptirun	qap+(tir)+un
qanga	qa+(nga)
hamlatkunillu	ham+l+at+(kuni)+llu
iluaniilluni	ilu+(aniillu)+ni
kihajjariktuq	ki+(hajjari)+kt+uq
tikitinnata	t+iki+(tinna)+ta
nutaqqangit	n+utaqq+(a)+ngit
tariuliqtuqtaa	tari+(uli)+qtuq+taa
nattiqtuq	na+(tti)+qtuq
qaqautaq	qa+(qa)+ut+aq
hanahimajaa	ha+na+(hima)+jaa
ihuaqtunik	i+hu+(aqtu)+nik
nangiqtuq	nang+(i)+qtuq
pivalliadjutikhangit	pi+vall+i+(adj)+utikh+a+ngit
alatjutikkut	al+a+(tj)+ut+ikkut
ikpiguhungniq	ik+pi+(guhu)+ng+niq
qagaqtaun	qa+g+(aqta)+un
ailaq	a+(ilaq)
naalaun	na+(ala)+un
qanilruq	qa+ni+(lru)+q
nuliilgahuk	nul+i+(ilgah)+uk
ihuarhaitjutinik	i+huarha+(itjut)+i+nik
irnillak	irn+i+(lla)+k
ihuaqhaqhimayutlu	i+hu+(aqha)+q+hima+yut+lu
uqaqtauvakhimayait	uqa+(qtau)+vak+hima+ya+it
aippaagutqikpat	a+ipp+(aagutqi)+kp+at
tirikhaq	tiri+(kha)+q
ugjunik	(ugju)+nik
ihumagiyaitigut	i+hum+(agiya)+it+igut
inuaqtuq	inu+(a)+qtuq
kivviti	ki+(vvi)+ti
kivanmut	kiv+(an)+mut
malriak	mal+(ria)+k
agjaqtuq	a+(gja)+qtuq
ubluriaq	ub+lu+(ria)+q
inuuhuktuq	inu+uhuktu+(q)
takuglugit	taku+(g)+lu+git
quanaqquhi	quana+qq+(uhi)
aquun	(aqu)+un
atuqtakhaqqut	at+uqt+(a)+khaq+q+ut
tajarniq	ta+(ja)+r+niq
anuqhaaqtuq	a+nu+q+h+(aa)+qtuq
laisimingni	lais+(i)+mi+ngni
maligaliqutitlu	mal+ig+aliq+(uti)+tlu
qablunaatut	qa+blu+(naat)+ut
finger	(finger)
naviktuq	na+v+(i)+kt+uq
hiqiniqpulaliqtuq	hi+qiniq+(pula)+li+qtuq
nigituraqtuq	ni+g+(itur)+a+qtuq
aluun	a+(lu)+un
hiut	(hi)+ut
illuktuq	(illu)+kt+uq
atanikittumi	a+(ta)+nik+ittu+mi
ayungnautiqaqqanik	ayu+ngna+(utiqaq)+qa+nik
takunnaqtuq	taku+(nna)+qtuq
nunaliuyut	nuna+(li)+uyut
munagidjutikhangitlu	munag+i+(djuti)+kha+ngit+lu
nunaqaqhimajut	nuna+(qaq)+hima+jut
titiraqtuq	titir+a+(qtu)+q
haumingni	ha+(umi)+ngni
nalariaq	na+(la)+riaq
maniliqidjutingnik	man+ili+q+(idj)+ut+ingn+ik
naammajjavutit	naamma+jj+av+(uti)+t
atuqtitpaktaillu	at+uqt+(itpa)+kta+i+llu
ilitturipkaidjutivikhatigut	ili+t+turip+ka+(idjut)+ivi+khat+igut
havguti	ha+(vg)+uti
igloolik	i+(gloo)+lik
itipjaaq	(itipjaa)+q
maliqatqujaujut	mal+iq+atquja+u+(ju)+t
piksasuuqtuq	pi+(ksasuu)+qtuq
aalliraujaq	aall+(ira)+uja+q
tuvak	(tuva)+k
aullarnatin	a+ulla+(rna)+tin
avaalaqiaq	ava+(alaqi)+aq
uqauhiup	uq+au+(hi)+up
aippiut	a+ipp+(i)+ut
manikhat	man+ik+ha+(t)
titiqiqidjutiliqiyunik	titiq+iq+(idjut)+iliq+iy+u+nik
itqanaiqtuq	itq+(ana)+i+qtuq
havangtinnagu	hav+ang+(tinna)+gu
ataaguuqtaa	at+a+(aguu)+qtaa
nipitirun	ni+pit+(ir)+un
qiku	qi+(ku)
aullaqatititluunniit	a+ull+aq+(atitit)+lu+unni+it
qutangajuq	qu+(ta)+nga+juq
igluqpaqarviit	igluqpa+(qarvi)+it
pitquhiliqijillu	pit+q+uhi+(liq)+iji+llu
qirnangajuq	qi+(rna)+nga+juq
greg	(greg)
qutuk	qu+(tu)+k
nuliariik	nul+i+(ariik)
imiqtaut	(imiqta)+ut
ihumagiyatik	i+hum+(agiya)+tik
malruuktaqtut	malru+(ukt)+aqtu+t
agiaq	a+(gi)+aq
makaqhuqtuq	m+ak+(aqhu)+qtuq
piquyat	pi+(quya)+t
quviagijaa	qu+(via)+gijaa
kigutigikhauti	kigut+(igikha)+uti
tuulliktuq	tu+(ulli)+kt+uq
aulapkaiyi	aula+pka+(iyi)
kiinaujatigut	ki+ina+(uj)+at+igut
aannuraangijaqtuq	a+an+n+(uraang)+ija+qtuq
talvnai	ta+lv+(nai)
ilauyudjutikhanik	il+au+(yu)+djut+ikha+nik
humunngaqqa	hum+unng+(aqq)+a
ugjullak	(ugju)+llak
aulajuq	a+u+(la)+j+uq
maniliurutikhat	man+(iliur)+utikh+at
iqilgagiaq	iq+(ilga)+gi+aq
aquut	(aqu)+ut
immiugaq	im+mi+(u)+gaq
iqqakuuruti	iqqaku+u+(r)+uti
tallimat	t+al+(lima)+t
tuhaqtitiyaangat	tuhaqt+(iti)+yaang+at
quunilaqijuq	qu+un+(ilaq)+i+j+uq
hakugiutikhanik	haku+(gi)+utikh+a+nik
ilihaliarpaarvingmi	ili+ha+(liarpaa)+rvi+ngmi
mirraq	(mir)+raq
angiyuqaanguvakhimayurlu	ang+(iyuqaangu)+v+akhima+yurlu
miriaqtuq	mir+(i)+a+qtuq
hakugiktuq	haku+(gi)+kt+uq
ikittijuq	ik+it+t+(i)+j+uq
havaagilluanggit	hav+aa+(gillua)+ng+git
nappaqtirnikkut	na+pp+aqt+(ir)+nik+kut
niurutikhaliqinikkut	n+iur+(utikha)+liq+inikk+ut
iijji	i+(ijji)
crowberry	(crowberry)
ihuaqhilugillu	i+hu+(aqhi)+lu+gi+llu
kinguq	ki+(ngu)+q
imaiqtittuq	ima+(iqt)+ittuq
atqunarnirujuq	atquna+rn+(ir)+u+juq
katitiqhimayut	k+at+iti+(q)+hima+yut
havaktiit	hav+akt+(i)+it
inuhaaq	inu+(ha)+aq
nunap	nuna+(p)
havaaqaqtut	hav+a+(aq)+aqtu+t
niuviqtittiviit	ni+uv+i+(qtitti)+vi+it
ikayuutiqvikhaat	ik+ayu+(utiqvikha)+at
havangnanga	hav+ang+(na)+ng+a
hinaani	hi+(na)+ani
ulapqijuq	ul+apq+(i)+j+uq
havaktiliriniq	hav+akt+(ilir)+in+iq
nunguani	nu+(ngu)+ani
piffi	pi+(ffi)
tuvjaqhijuq	tu+(vjaqhi)+j+uq
aadjikiiknahuarlugit	aadji+ki+ik+(nahuar)+lu+git
makpiraaqarvik	makp+(ira)+aq+arvik
qaalluviaq	q+aall+uv+(i)+aq
hivulliutiyukhat	hivul+li+(uti)+yu+khat
tamamnuk	t+ama+(m)+nuk
atungaq	at+u+(ng)+aq
aniqhaaktuq	a+niq+ha+(a)+kt+uq
im’rut	(im’r)+ut
jubileemik	jubi+l+(ee)+mik
angiqpak	angi+(qpa)+k
tuqujuq	tu+(q)+u+juq
inuuhiringnaqtumiklu	inu+(uhiringnaqtu)+mik+lu
pigilraaqtagharijaanni	pi+(gi)+lraaqta+gha+rijaa+n+ni
atuun	a+(tu)+un
aikhiqtuq	(aikhi)+qtuq
kiijaa	ki+(i)+jaa
ilihaqtittihimajut	ili+ha+(qtitti)+hima+jut
hanalrutikhanik	ha+na+(lr)+utikh+a+nik
kinamik	ki+(na)+mik
taktuk	ta+(ktu)+k
ugjugaq	(ugju)+gaq
pijariiqtaa	pi+(jarii)+qtaa
pitquijuq	pi+(tqu)+i+j+uq
havaktitinikkut	hav+akt+(iti)+nik+kut
uqaqtitauvakhimayuq	uq+aqt+(itau)+v+akhima+yuq
hiurjuk	hiurju+(k)
pattitigijaa	pa+(ttiti)+gijaa
ukpatik	ukp+(a)+tik
iluittunnguqtuq	ilu+(ittunng)+u+qtuq
haulluti	ha+(ull)+uti
aviktuqvingnunlu	aviktuqving+n+(un)+lu
havaut	hav+a+(u)+t
huqullaaqtuq	hu+qu+(lla)+a+qtuq
qaritauyaliqidjutingni	qa+r+it+auyal+iq+(idjut)+ingn+i
taapkuningalu	t+a+a+p+(kuni)+nga+lu
ungirut	(ungir)+ut
upautiyaangatlu	u+pa+(uti)+yaang+atlu
aajjigiiktuk	a+(ajjig)+i+iktuk
piqhiqtuq	pi+(qhi)+qtuq
tahiraq	ta+hi+(ra)+q
hamlatkunit	ham+l+at+(kuni)+t
hallaaqtuq	ha+(lla)+a+qtuq
maniktarvikhainik	man+ik+ta+(rvi)+khai+nik
uumman	uumm+a+(n)
kiluuttaqtaq	(kiluutt)+aq+taq
aajjikkutaa	aajj+ikk+uta+(a)
ihuaqhainikkut	i+hu+(aqha)+inikk+ut
ublu	u+(blu)
kiihijuq	ki+(ihi)+j+uq
mingulilaqijuq	mingul+(ilaq)+i+j+uq
niripkaqtaa	ni+r+(ipka)+qtaa
qaqquliuqtuq	qa+q+qu+(li)+u+qtuq
kataktuq	ka+(ta)+kt+uq
avatiliqiyitkutni	av+at+(i)+liq+iyit+kut+ni
tallimiut	t+al+(limi)+ut
attit	a+(tti)+t
ihivriuqtuq	ihivr+i+(u)+qtuq
kigutaijaqtaa	kigut+(aija)+qtaa
aaq	(a)+aq
kingumut	ki+(ngu)+mut
naunaqtuq	naun+(a)+qtuq
qilgiriaqtuq	qilg+ir+(i)+a+qtuq
hivunikhainnik	hivun+(ikha)+in+nik
ilannamingnut	i+la+(nna)+mi+ng+nut
ilgaak	(ilga)+ak
ihuuq	i+(huu)+q
upin’ngaaq	upin’nga+(a)+q
iepngit	(iep)+ngit
tigumiaqtiuyut	(tigumia)+qti+u+yut
upalunggaiyaunik	u+pa+(lunggaiyau)+nik
quqtuqqak	qu+(qtu)+q+q+ak
imaiqtuq	i+(ma)+i+qtuq
apittaaq	ap+(itta)+aq
kapuqhirumangitkumik	ka+pu+(qhi)+ruma+ngit+ku+mik
urjuk	u+(rju)+k
havaangit	hav+a+(a)+ngit
ingattaqtuq	ing+(att)+a+qtuq
ukununga	(ukunu)+ng+a
ujurukhaq	(ujuru)+khaq
aniutaqtuq	a+ni+(uta)+qtuq
hunak	hu+na+(k)
naunaitkutikhat	na+una+it+(k)+utikh+at
hanahuillun	ha+na+(huill)+un
tuklianik	t+uk+(li)+a+nik
amaamaut	a+(maama)+ut
imiarjijuq	i+(miarj)+i+j+uq
naammajjavutik	naamma+jj+av+(u)+tik
alliaqtuqtuq	a+ll+(i)+aqtu+qtuq
kigutigikhaqtuq	kigut+(igikha)+qtuq
un’nguq	u+(n’ng)+uq
ajuqhautiqaqhimajuq	ajuq+ha+(utiqaq)+hi+majuq
titirarvigijaa	titir+a+(rvi)+gijaa
qaniaqtuq	qa+ni+(a)+qtuq
qausuittuq	qa+(usu)+ittuq
qattinnaktuq	qa+t+(tinna)+kt+uq
qupanuaqpaarjuk	qu+pa+nu+(aqpa)+ar+ju+k
uaqhivik	(uaqhi)+vi+k
takunnaittuq	taku+(nna)+ittuq
ubluqhiuti	ub+lu+(qhi)+uti
unaaq	un+(a)+aq
halraqtuq	ha+(lra)+qtuq
attirluaqtuq	att+ir+(lu)+a+qtuq
hiqiniq pulaliqtuq	hi+qiniq+( pula)+li+qtuq
auktirun	auk+(tir)+un
qamanittuaq	qa+man+(ittu)+aq
iniqtauyukhaq	ini+(qtauyu)+khaq
pittaq	pi+(t)+taq
taapkuatluat	t+a+a+p+(kuatlu)+at
haki	ha+(ki)
ungahikhijuq	ung+a+(hi)+khi+juq
tahamaniittunun	ta+ha+ma+ni+(ittu)+n+un
ayuikyuumigumik	a+(yuikyuumi)+gu+mik
qiliqtuq	qi+(li)+qtuq
nutaanguqtirnikkullu	n+uta+a+ng+(uqtir)+nik+kul+lu
kiinaq	ki+ina+(q)
manliurnikkut	man+(liur)+nik+kut
nanminigiyaingit	na+nmin+(igiya)+i+ngit
uhiliqpallaaqtuq	u+(hiliqpalla)+a+qtuq
qugluktaaqtuq	qu+glu+(k)+taa+qtuq
niviqtuq	ni+(vi)+qtuq
nangmautaq	nang+(ma)+ut+aq
ulu	u+(lu)
nakuuyut	(naku)+uyut
nunagijapta	nuna+(gijap)+ta
havakviata	hav+ak+(via)+ta
puvak	pu+(va)+k
maniqarvikhat	ma+ni+(qarvi)+khat
kinguliq	king+ul+(i)+q
qiviuq	qi+(vi)+uq
ubluirvia	ub+lu+(i)+rvi+a
malrik	mal+(ri)+k
uukturutit	uuk+tu+(r)+uti+t
uvagut	uva+(gu)+t
qilaujjaqtuq	qi+la+(ujj)+a+qtuq
piqati	pi+(qa)+ti
ajapqumiarvik	aj+apq+(umi)+arvik
nirihuiqtunga	niri+huiq+(tu)+ng+a
hanaqijuq	ha+na+(q)+i+j+uq
ungataani	ung+a+(ta)+ani
pigiaqaqtun	pi+(giaq)+aqtun
kangiqtugaapkik	ka+ngi+(qtu)+ga+apkik
ingilradjutikhanginik	i+ngi+(lradj)+utikh+angi+nik
ilingajuq	ili+(nga)+j+uq
kingullirmi	king+ul+(lirmi)
kulavak	ku+(la)+vak
nunalaani	nuna+(la)+ani
qangiakhaq	qa+ngi+(a)+khaq
takuyaaqtut	t+ak+(uya)+aqtu+t
ukuallu	u+ku+(a)+llu
nipittuq	n+ip+(i)+tt+uq
kanajuq	ka+(na)+j+uq
nunamunngaqhuni	nuna+(munng)+aqhu+ni
kiguangirnaq	ki+gu+(angi)+rnaq
imannaq	ima+(nna)+q
inuqarniriit	inu+(q)+ar+nir+iit
algumuuqtuq	algu+(mu)+u+qtuq
havaakhanut	hav+a+(a)+kha+nut
nakkaqtuq	na+(kk)+a+qtuq
nujaittuq	nu+(ja)+ittuq
tuktut	tu+(ktu)+t
qaajurnaqtuq	qa+(aju)+rn+a+qtuq
malrungnik	malru+(ngni)+k
titiqqiqhijuq	t+itiq+q+(iqh)+i+j+uq
uhiijaqtuq	(uhi)+ija+qtuq
atuqluni	at+u+(q)+lu+ni
qatiggaaqtuq	qa+tig+(ga)+a+qtuq
pitjutinik	pi+(tj)+uti+nik
akuliarikhijuq	(akuliari)+khi+juq
ubluqhiun	ub+lu+(qhi)+un
piqtuq	(pi)+qtuq
ukunungalu	(ukunu)+nga+lu
kigliq	ki+(gli)+q
ikuhingmiktaa	iku+(hi)+ng+mik+taa
aluktuq	a+(lu)+kt+uq
havaktiangit	hav+akt+(i)+a+ngit
nuvirharniq	n+uvi+(rhar)+niq
qajangnaqtuq	qa+(ja)+ngna+qtuq
upalungiarutikhangit	up+a+lu+ng+(iar)+utikh+a+ngit
pivalliayangat	pi+vall+i+(ayang)+at
qimaktailugit	qi+(maktai)+lu+git
uqquuquti	uq+qu+(uq)+uti
angilrauhiqtuq	angil+ra+(uhi)+qtuq
munariplugitlu	mu+na+(r)+iplu+git+lu
mista	mi+(sta)
hiurjuktuuq	hiurju+(ktu)+uq
avittaa	avi+(t)+taa
aullarnanga	a+ulla+(rna)+nga
havagvia	hav+a+gv+(i)+a
kinalikaaq	ki+(nalika)+aq
qakkuriktuq	qa+(kkuri)+kt+uq
nalujaa	na+(lu)+jaa
nuvijaa	nu+(vi)+jaa
kipaqati	kip+(aqa)+ti
nungulaittumun	n+ungul+a+ittu+(m)+un
kapuukhirunaittut	ka+pu+(ukhiruna)+it+tut
nurraq	nur+ra+(q)
tipjarluktuq	tip+(jarlu)+kt+uq
qilaqqaun	qi+la+(qqa)+un
nuitajuq	nu+(ita)+j+uq
higaarluk	hig+aa+(r)+lu+k
talvani	ta+lv+(a)+ni
hauniq	ha+(u)+niq
aittuqtaa	a+(ittu)+qtaa
tuktuvallak	t+uk+(tuva)+llak
turraarvikhangit	tu+(rra)+arvik+ha+ngit
ulukhaqtuuq	u+lu+(khaqtuu)+q
mamaqhungnittuq	ma+ma+q+(hungn)+ittuq
titiraqhimayut	titir+a+(q)+hima+yut
ivitaaruq	ivita+(a)+r+uq
angitqiyaniklu	angi+(tqiya)+nik+lu
qakugu	qa+(ku)+gu
havagviat	hav+a+gv+(i)+at
ulapqinirmut	ul+apq+(i)+ni+rm+ut
hanaji	ha+na+(ji)
tagjaaqtuq	ta+(gja)+a+qtuq
aqilgiq	aqil+(gi)+q
